~                val ALe Alx Aus Bau Bem Bra Clq Crk DLk Dul EGF Ely Fmt Frb FFl Gpo GRp Hib Hut 
AlbertLea         49   0 228  22 432 322 229 230 396 301 249 408 339  59  49 272 399 301 300 145
Alexandria        49 228   ~ 243 237 133  87 195 173  95 213 184 304 208 181  49 364 170 204 112
Austin            62  22 243   ~ 447 336 243 245 411 315 263 422 353  78  62 286 413 315 315 160
Baudette         101 432 237 447   ~ 101 202 202 186 194 211 166 207 451 385 242 359 131 170 309
Bemidji           69 322 133 336 101   ~  97 139  88  91 149 113 174 346 274 138 303  69 103 204
Brainerd          83 229  87 243 202  97   ~  98 184  92 115 209 188 253 181 100 265  83 116 111
Cloquet           21 230 195 245 202 139  98   ~ 228 189  21 253 108 286 183 197 172  71  71 176
Crookston         25 396 173 411 186  88 184 228   ~  92 237  25 262 365 348 126 391 157 191 279
DetroitLakes      48 301  95 315 194  91  92 189  92   ~ 207 117 239 306 253  48 357 133 167 183
Duluth            21 249 213 263 211 149 115  21 237 207   ~ 265 113 304 201 215 151  83  76 195
EastGrandForks    25 408 184 422 166 113 209 253  25 117 265   ~ 288 396 360 138 416 183 217 291
Ely               72 339 304 353 207 174 188 108 262 239 113 288   ~ 394 291 294 152 106  72 285
Fairmont          59  59 208  78 451 346 253 286 365 306 304 396 394   ~ 104 260 454 298 357 118
Faribault         49  49 181  62 385 274 181 183 348 253 201 360 291 104   ~ 224 351 253 253  97
FergusFalls       48 272  49 286 242 138 100 197 126  48 215 138 294 260 224   ~ 366 183 217 155
GrandPortage     151 399 364 413 359 303 265 172 391 357 151 416 152 454 351 366   ~ 234 228 345
GrandRapids       34 301 170 315 131  69  83  71 157 133  83 183 106 298 253 183 234   ~  34 194
Hibbing           34 300 204 315 170 103 116  71 191 167  76 217  72 357 253 217 228  34   ~ 217
Hutchinson        97 145 112 160 309 204 111 176 279 183 195 291 285 118  97 155 345 194 217   ~
